1629,"NEXT FUNDS 商社・卸売(TOPIX-17)上場投信",,"当ファンドは2026年4月1日に受益権の分割を行なっています。分割日をまたいで計算している値（受益権口数、基準価額、分配金）は、分割の影響を受けないよう調整しています。"
,"NEXT FUNDS TOPIX-17 COMMERCIAL & WHOLESALE TRADE ETF",,"The beneficial interests of this fund was split on April 1, 2026. Shares, Net Asset Value (per Share) and ETF Dividend (per Share) are recalculated to reflect the split."

"基準日","純資産総額","受益権口数","1口当たり基準価額","1口当たり分配金","騰落率","1口当たり基準価額（分配金再投資）","株式組入比率","債券組入比率","REIT組入比率","先物組入比率"
Date,"ETF Net Asset (Total)","Shares Outstanding","Net Asset Value (per Share)","ETF Dividend (per Share)","Total Return","ETF Net Asset Value (per Share) (Dividend-included)","Percent of Stocks in ETF","Percent of Bonds in ETF","Percent of REITs in ETF","Percent of Futures in ETF"
20080321,958753875,,53.279,0,,53.279,,,,
20080324,954842034,,53.0616,0,-0.004080406914545,53.0616,,,,
20080325,988194261,,54.915,0,0.034929214347098,54.915,,,,
20080326,1021762424,,56.7804,0,0.033968860966948,56.7804,,,,
20080327,1013533499,,56.323,0,-0.008055596649548,56.323,,,,
20080328,1044952547,,58.069,0,0.030999769188431,58.069,,,,
20080331,1019105298,,56.6326,0,-0.024736089824175,56.6326,,,,
20080401,1017695704,,56.5544,0,-0.00138083012258,56.5544,,,,
20080402,1027363709,,57.0916,0,0.009498818836377,57.0916,,,,
20080403,1054579433,,58.604,0,0.026490762213705,58.604,,,,
20080404,1068177183,,59.3596,0,0.012893317862262,59.3596,,,,
20080407,1111848024,,61.7864,0,0.040883024818226,61.7864,,,,
20080408,1102384904,,61.2606,0,-0.008509963357633,61.2606,,,,
20080409,1094112378,,60.801,0,-0.007502375099167,60.801,,,,
20080410,1102637235,,61.2746,0,0.007789345569974,61.2746,,,,
20080411,1135248106,,63.0868,0,0.029575060465511,63.0868,,,,
20080414,1119886248,,62.2332,0,-0.013530564238478,62.2332,,,,
20080415,1144534449,,63.603,0,0.022010759530282,63.603,,,,
20080416,1139092605,,63.3006,0,-0.004754492712608,63.3006,,,,
20080417,1141672270,,63.4438,0,0.002262221843078,63.4438,,,,
20080418,1132734757,,62.9472,0,-0.007827399998109,62.9472,,,,
20080421,1152779981,,64.0612,0,0.017697371765543,64.0612,,,,
20080422,1140210358,,63.3626,0,-0.01090519690546,63.3626,,,,
20080423,1175971559,,65.35,0,0.031365505834672,65.35,,,,
20080424,1171413755,,65.0966,0,-0.003877582249427,65.0966,,,,
20080425,1169431846,,64.9864,0,-0.001692868751978,64.9864,,,,
20080428,1163930651,,64.6808,0,-0.004702522373912,64.6808,,,,
20080430,1129310683,,62.757,0,-0.029742984007619,62.757,,,,
20080501,1123800093,,62.4506,0,-0.004882323884189,62.4506,,,,
20080502,1127022751,,62.6298,0,0.002869468027529,62.6298,,,,
20080507,1178953177,,65.5156,0,0.046077107064049,65.5156,,,,
20080508,1179350688,,65.5376,0,0.000335797886305,65.5376,,,,
20080509,1172190395,,65.1398,0,-0.006069798100633,65.1398,,,,
20080512,1162849127,,64.6206,0,-0.007970549495087,64.6206,,,,
20080513,1168837498,,64.9534,0,0.005150060507021,64.9534,,,,
20080514,1180335609,,65.5924,0,0.009837822192525,65.5924,,,,
20080515,1193283108,,66.312,0,0.010970783200492,66.312,,,,
20080516,1231493377,,68.4354,0,0.032021353601158,68.4354,,,,
20080519,1268513043,,70.4926,0,0.030060465782329,70.4926,,,,
20080520,1281592065,,71.2194,0,0.01031030207426,71.2194,,,,
20080521,1257580158,,69.885,0,-0.018736467872518,69.885,,,,
20080522,1282366088,,71.2624,0,0.019709522787436,71.2624,,,,
20080523,1240726673,,68.9484,0,-0.032471541794832,68.9484,,,,
20080526,1208857965,,67.1774,0,-0.025685875234234,67.1774,,,,
20080527,1242062231,,69.0226,0,0.027467570939035,69.0226,,,,
20080528,1205459918,,66.9886,0,-0.02946860883247,66.9886,,,,
20080529,1218649368,,67.7216,0,0.010942160307873,67.7216,,,,
20080530,1225185797,,68.0848,0,0.005363133771204,68.0848,,,,
20080602,1581800328,,68.774,0,0.010122670552017,68.774,,,,
20080603,1571169958,,68.3118,0,-0.006720563003461,68.3118,,,,
20080604,1562128194,,67.9186,0,-0.005755960170864,67.9186,,,,
20080605,1531401122,,66.5826,0,-0.019670605695642,66.5826,,,,
20080606,1552417856,,67.4964,0,0.013724306350307,67.4964,,,,
20080609,1536943235,,66.8236,0,-0.009967939030823,66.8236,,,,
20080610,1508396020,,65.5824,0,-0.018574276153934,65.5824,,,,
20080611,2801443246,,65.1498,0,-0.006596281929298,65.1498,,,,
20080612,2756818684,,64.112,0,-0.015929442607652,64.112,,,,
20080613,2781333165,,64.6822,0,0.008893810831045,64.6822,,,,
20080616,3220403815,,67.0918,0,0.037252907291341,67.0918,,,,
20080617,3217325196,,67.0276,0,-0.000956897862333,67.0276,,,,
20080618,3231902106,,67.3312,0,0.004529477409306,67.3312,,,,
20080619,3165777477,,65.9536,0,-0.020460054179935,65.9536,,,,
20080620,3440237706,,64.9102,0,-0.015820212998229,64.9102,,,,
20080623,3398267145,,64.1182,0,-0.012201472187731,64.1182,,,,
20080624,3435585493,,64.8224,0,0.010982841065407,64.8224,,,,
20080625,3444612788,,64.9926,0,0.002625635582761,64.9926,,,,
20080626,3379706657,,63.768,0,-0.018842145105751,63.768,,,,
20080627,3345330977,,63.1194,0,-0.010171245765902,63.1194,,,,
20080630,3403167596,,64.2108,0,0.017291038888202,64.2108,,,,
20080701,3484457456,,65.7444,0,0.023883832626287,65.7444,,,,
20080702,3433233546,,64.778,0,-0.014699350819234,64.778,,,,
20080703,3331765333,,62.8634,0,-0.029556330853068,62.8634,,,,
20080704,3324340150,,62.7234,0,-0.002227051034466,62.7234,,,,
20080707,3305202320,,62.3624,0,-0.005755427798876,62.3624,,,,
20080708,3200063505,,60.3786,0,-0.03181083473375,60.3786,,,,
20080709,3165166454,,59.7202,0,-0.010904525775689,59.7202,,,,
20080710,3126669769,,58.9938,0,-0.012163388602182,58.9938,,,,
20080711,3154711965,,59.5228,0,0.008967043994453,59.5228,,,,
20080714,3173715794,,59.8814,0,0.006024582176913,59.8814,,,,
20080715,3141795142,,59.2792,0.1578,-0.007421336174505,59.437,,,,
20080716,3075067435,,58.0202,0,-0.021238478252069,58.174648568,,,,
20080717,3066918304,,57.8664,0,-0.002650800927953,58.020439156,,,,
20080718,3007052653,,56.7368,0,-0.019520827284919,56.887832184,,,,
20080722,3167482171,,59.7638,0,0.05335161658747,59.922889995,,,,
20080723,3166749203,,59.75,0,-0.00023090901181,59.90905326,,,,
20080724,3184823242,,60.091,0,0.005707112970711,60.250960995,,,,
20080725,3083155647,,58.1728,0,-0.031921585595181,58.327654786,,,,
20080728,3153526905,,59.5006,0,0.02282510039056,59.658989362,,,,
20080729,3179011131,,59.9814,0,0.008080590783958,60.141069242,,,,
20080730,3240317898,,61.138,0,0.019282644286395,61.300748087,,,,
20080731,3200755847,,60.3916,0,-0.012208446465374,60.552361186,,,,
20080801,3102671490,,58.541,0,-0.030643334503475,58.696834927,,,,
20080804,2936138611,,55.3988,0,-0.053675201995183,55.546270456,,,,
20080805,2884731445,,54.4288,0,-0.017509404535839,54.573688336,,,,
