,Positive Signal (Normal),Negative Signal (-Signal)
y_res_cc_60 Rank IC,-0.42817201634129254,0.42817201634129254
y_res_cc_60 Pearson IC,-0.46120989143037344,0.46120989143037344
y_res_cc_60 Long-Short Spread (bps),-92.28122884515508,92.28122884515508
y_res_cc_60 Q1 (Bottom 30%) bps,48.245516919686715,-44.03571192546836
y_res_cc_60 Q2 (Middle 40%) bps,1.8850343067531758,1.8850343067531758
y_res_cc_60 Q3 (Top 30%) bps,-44.03571192546836,48.245516919686715
y_res_intraday_60 Rank IC,0.18939727011997556,-0.18939727011997556
y_res_intraday_60 Pearson IC,0.20952922961347434,-0.20952922961347434
y_res_intraday_60 Long-Short Spread (bps),39.970178505269345,-39.970178505269345
y_res_intraday_60 Q1 (Bottom 30%) bps,-25.0252253676333,14.944953137636046
y_res_intraday_60 Q2 (Middle 40%) bps,-4.939342020197531,-4.939342020197531
y_res_intraday_60 Q3 (Top 30%) bps,14.944953137636046,-25.0252253676333
