Ticker,Median Price,Median Volume (shares),Median ADV (JPY),Median Rolling ADV (JPY),Median Abs Weight,Median Trade size (JPY @ 100M),Median Trade/ADV Ratio,p95 Trade/ADV Ratio,Missing/Zero ADV Days
1617.T,28250.0,22.0,535520.0,1217430.0,0.07217766859700996,14279384.12130623,7.960095180737671,175.26186356098907,614
1618.T,12235.5,177.0,2197760.0,2815399.0,0.13763758061725745,18335862.13016661,5.326197561697565,56.21075074039512,169
1619.T,20760.0,68.0,1387750.0,2372607.0,0.08213446327060034,13939440.227709493,4.255516012583883,66.9205757631979,383
1620.T,22650.0,19.0,347200.0,906843.75,0.0683048081297072,14258785.618924718,9.923987551500034,228.38829691672888,607
1621.T,21000.0,142.0,2712850.0,4213641.875,0.08622271227603638,14359640.621118255,2.6153679986201457,23.328854505432634,133
1622.T,20790.0,131.0,2537920.0,4117829.0,0.09670080402649593,15141584.894050054,2.596639892239665,41.363385969045744,246
1623.T,19330.0,54.0,977320.0,1652292.0,0.12046868795636663,17971949.237012446,7.505626567410971,171.37876991814076,430
1624.T,31600.0,17.0,522000.0,1211252.5,0.10715444497127856,16687244.456545282,8.740038435787401,194.040195481673,700
1625.T,17580.0,61.0,997560.0,2208607.75,0.11035161919113878,16438441.721675673,4.945361516441235,158.50154439208004,423
1626.T,20550.0,30.0,567360.0,1378683.5,0.11300403450597551,16452246.080888402,8.629059310101603,188.48188217162746,606
1627.T,7220.0,312.0,2169750.0,2761831.75,0.12115133887420688,17195930.791441377,4.315741928988505,43.05822692077857,121
1628.T,15810.0,23.0,337000.0,709747.75,0.0676246603778057,13849309.338645874,5.3483544179974585,706.7913058780622,887
1629.T,122.08000183105469,5500.0,1711079.990386963,2583561.50041008,0.0816893270041789,14555720.360683583,2.7277711088739487,61.82845710716658,330
1630.T,19640.0,8.0,129290.0,438455.5,0.08163314514203447,14962114.897002775,18.562375754544068,687.7253318505984,1153
1631.T,9950.0,488.0,4318800.0,5968981.125,0.10384631809076326,15712995.88885179,1.6280292623904153,19.83635044954943,97
1632.T,12400.0,76.0,804080.0,1384656.75,0.11651933655024639,16791558.323630385,8.995386959411068,134.60044562861282,362
1633.T,29125.0,92.0,2232660.0,3101375.25,0.11459022892861818,17590386.56758564,4.101405517044053,37.94978072388612,209
