model,target_gross,annualized_net_return,IR,max_drawdown
baseline_current,0.5,0.18931152924424857,4.728635042060607,-0.04568275371893016
baseline_current,1.0,0.34154780718759287,4.6382354415527205,-0.09788983850791376
baseline_current,1.5,0.4725445431815717,4.613091759132477,-0.15359784682313596
baseline_current,2.0,0.5836913034038438,4.503170086283681,-0.1935982497844873
net_alpha_filter,0.5,0.0,0.0,0.0
net_alpha_filter,1.0,0.0,0.0,0.0
net_alpha_filter,1.5,0.0,0.0,0.0
net_alpha_filter,2.0,0.0,0.0,0.0
net_score_ranking,0.5,0.0,0.0,0.0
net_score_ranking,1.0,0.0,0.0,0.0
net_score_ranking,1.5,0.0,0.0,0.0
net_score_ranking,2.0,0.0,0.0,0.0
cost_aware_mvo,0.5,0.30957267710357694,4.777172897160409,-0.0664290200083091
cost_aware_mvo,1.0,0.47114257005214805,4.859932428284127,-0.16290614299316433
cost_aware_mvo,1.5,0.534282194658476,4.418097183070725,-0.2586647566038587
cost_aware_mvo,2.0,0.5506525067179068,3.9786588732009096,-0.35018919692428047
cost_aware_mvo_beta_neutral,0.5,0.2809696906917976,4.687598340959298,-0.06329733022773053
cost_aware_mvo_beta_neutral,1.0,0.4203652056762442,4.616552941387177,-0.17318397705912525
cost_aware_mvo_beta_neutral,1.5,0.4859227910125224,4.226124555588498,-0.230797010956149
cost_aware_mvo_beta_neutral,2.0,0.49350740920206704,3.8152067033061208,-0.32233045131668
integer_rounded_mvo,0.5,0.2809696906917976,4.687598340959298,-0.06329733022773053
integer_rounded_mvo,1.0,0.4203652056762442,4.616552941387177,-0.17318397705912525
integer_rounded_mvo,1.5,0.4859227910125224,4.226124555588498,-0.230797010956149
integer_rounded_mvo,2.0,0.49350740920206704,3.8152067033061208,-0.32233045131668
