Parameter,Value,annualized_net_return,annualized_volatility,IR,max_drawdown,average_realized_gross,average_number_of_names,concentration_HHI,optimizer_failure_days
risk_aversion,1.0,45.6327%,9.4457%,4.8311,-15.3082%,0.9963,7.97,0.1831,0
risk_aversion,3.0,45.6921%,9.4159%,4.8526,-15.5874%,0.9962,7.98,0.1829,0
risk_aversion,5.0,45.8199%,9.4008%,4.8740,-15.9949%,0.9962,7.97,0.1829,0
risk_aversion,10.0,45.4218%,9.3871%,4.8387,-16.7742%,0.9961,7.99,0.1828,0
impact_eta,0.0,45.6921%,9.4159%,4.8526,-15.5874%,0.9962,7.98,0.1829,0
impact_eta,0.02,44.2569%,9.2694%,4.7745,-14.1068%,0.9454,9.15,0.1750,0
impact_eta,0.05,38.8188%,8.8783%,4.3723,-11.2035%,0.8165,9.92,0.1728,0
impact_eta,0.1,31.8054%,8.1765%,3.8898,-8.8506%,0.6430,9.58,0.1847,0
max_abs_weight,0.1,24.6376%,6.0951%,4.0422,-17.9765%,0.9765,13.24,0.0897,0
max_abs_weight,0.15,34.8018%,7.5422%,4.6143,-15.0044%,0.9913,10.54,0.1228,0
max_abs_weight,0.2,40.7350%,8.5649%,4.7560,-16.2690%,0.9945,9.09,0.1525,0
max_abs_weight,0.25,45.6921%,9.4159%,4.8526,-15.5874%,0.9962,7.98,0.1829,0
gross,0.5,30.0180%,6.1190%,4.9057,-5.7094%,0.4986,4.91,0.3181,0
gross,1.0,45.6921%,9.4159%,4.8526,-15.5874%,0.9962,7.98,0.1829,0
gross,1.5,52.5862%,11.7846%,4.4623,-24.4648%,1.4802,10.62,0.1307,0
gross,2.0,54.6168%,13.4303%,4.0667,-33.6774%,1.9294,12.89,0.1042,0
