model,scenario_name,unavailable_probability,annualized_net_return,IR,max_drawdown
baseline_current,base_all_short_available,0.0,0.34154780718759287,4.6382354415527205,-0.09788983850791376
baseline_current,stress_20pct_short_unavailable,0.2,0.34154780718759287,4.6382354415527205,-0.09788983850791376
baseline_current,stress_50pct_short_unavailable,0.5,0.34154780718759287,4.6382354415527205,-0.09788983850791376
net_alpha_filter,base_all_short_available,0.0,0.0,0.0,0.0
net_alpha_filter,stress_20pct_short_unavailable,0.2,0.0,0.0,0.0
net_alpha_filter,stress_50pct_short_unavailable,0.5,0.0,0.0,0.0
net_score_ranking,base_all_short_available,0.0,0.0,0.0,0.0
net_score_ranking,stress_20pct_short_unavailable,0.2,0.0,0.0,0.0
net_score_ranking,stress_50pct_short_unavailable,0.5,0.0,0.0,0.0
cost_aware_mvo,base_all_short_available,0.0,0.47114257005214805,4.859932428284127,-0.16290614299316433
cost_aware_mvo,stress_20pct_short_unavailable,0.2,0.4344513544753385,4.537263816342353,-0.18046431686626185
cost_aware_mvo,stress_50pct_short_unavailable,0.5,0.3498960337659915,3.879186039939685,-0.1764273237003391
cost_aware_mvo_beta_neutral,base_all_short_available,0.0,0.4203652056762442,4.616552941387177,-0.17318397705912525
cost_aware_mvo_beta_neutral,stress_20pct_short_unavailable,0.2,0.38169801294077593,4.2275555044341955,-0.1834944793792013
cost_aware_mvo_beta_neutral,stress_50pct_short_unavailable,0.5,0.2986719938832511,3.542106233617909,-0.1553997575132462
integer_rounded_mvo,base_all_short_available,0.0,0.4203652056762442,4.616552941387177,-0.17318397705912525
integer_rounded_mvo,stress_20pct_short_unavailable,0.2,0.38169801294077593,4.2275555044341955,-0.1834944793792013
integer_rounded_mvo,stress_50pct_short_unavailable,0.5,0.2986719938832511,3.542106233617909,-0.1553997575132462
