ticker,signal,vol,score_long,score_short,net_mu_long,net_mu_short,entry_cost_long_bps,entry_cost_short_bps,exit_cost_long_bps,exit_cost_short_bps,financing_bps,borrow_bps,reverse_bps,cost_source,selected_before_lob,weight_before_lob,selected_after_lob,weight_after_lob,skip_reason,scale_reason,scale_factor,quoted_spread_bps,estimated_slippage_bps,order_depth_ratio
1617.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1618.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1619.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1620.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1621.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1622.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1623.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1624.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1625.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1626.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1627.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1628.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1629.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1630.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1631.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1632.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
1633.T,0.0,0.015,-0.0015684931506849316,-0.0015315068493150685,-0.0015684931506849316,-0.0015315068493150685,7.5,7.5,7.5,7.5,0.6849315068493151,0.3150684931506849,0.0,not_configured,False,0.0,False,0.0,,,1.0,,,
