window_id,model,n_selected,selected_features
0,macro_hinge_x_asset_beta_ridge,0,
0,macro_hinge_x_asset_beta_elasticnet,0,
0,us_sector_hinge_x_sector_exposure_ridge,0,
0,us_sector_hinge_x_sector_exposure_elasticnet,0,
0,regime_hinge_x_base_signal_ridge,8,int_regime_signal_hinge_pos_cross_sectional_dispersion_k1_0|int_regime_signal_hinge_neg_realized_vol_20d_k1_0|int_regime_signal_hinge_neg_topix_intraday_vol_k1_0|int_regime_signal_hinge_pos_vix_return_k1_0|int_regime_signal_hinge_neg_vix_return_k1_0|int_regime_signal_hinge_neg_cross_sectional_dispersion_k1_0|int_regime_signal_hinge_pos_realized_vol_20d_k1_0|int_regime_signal_hinge_pos_topix_intraday_vol_k1_0
0,regime_hinge_x_base_signal_elasticnet,8,int_regime_signal_hinge_pos_cross_sectional_dispersion_k1_0|int_regime_signal_hinge_neg_realized_vol_20d_k1_0|int_regime_signal_hinge_neg_topix_intraday_vol_k1_0|int_regime_signal_hinge_pos_vix_return_k1_0|int_regime_signal_hinge_neg_vix_return_k1_0|int_regime_signal_hinge_neg_cross_sectional_dispersion_k1_0|int_regime_signal_hinge_pos_realized_vol_20d_k1_0|int_regime_signal_hinge_pos_topix_intraday_vol_k1_0
0,gap_hinge_asset_specific_ridge,18,int_gap_asset_hinge_neg_jp_open_gap_k1_0|int_gap_asset_hinge_neg_entry_gap_k1_0|int_gap_asset_hinge_neg_jp_open_gap_k1_5|int_gap_asset_hinge_neg_entry_gap_k1_5|int_gap_asset_hinge_neg_jp_open_gap_k2_0|int_gap_asset_hinge_neg_entry_gap_k2_0|int_gap_asset_hinge_pos_jp_open_gap_k2_0|int_gap_asset_hinge_pos_entry_gap_k2_0|int_gap_asset_hinge_pos_jp_open_gap_k1_5|int_gap_asset_hinge_pos_entry_gap_k1_5|int_gap_asset_hinge_pos_jp_open_gap_k1_0|int_gap_asset_hinge_pos_entry_gap_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_5|int_gap_asset_hinge_pos_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k2_0|int_gap_asset_hinge_pos_gap_surprise_k2_0|int_gap_asset_hinge_pos_gap_surprise_k1_5
0,gap_hinge_asset_specific_elasticnet,18,int_gap_asset_hinge_neg_jp_open_gap_k1_0|int_gap_asset_hinge_neg_entry_gap_k1_0|int_gap_asset_hinge_neg_jp_open_gap_k1_5|int_gap_asset_hinge_neg_entry_gap_k1_5|int_gap_asset_hinge_neg_jp_open_gap_k2_0|int_gap_asset_hinge_neg_entry_gap_k2_0|int_gap_asset_hinge_pos_jp_open_gap_k2_0|int_gap_asset_hinge_pos_entry_gap_k2_0|int_gap_asset_hinge_pos_jp_open_gap_k1_5|int_gap_asset_hinge_pos_entry_gap_k1_5|int_gap_asset_hinge_pos_jp_open_gap_k1_0|int_gap_asset_hinge_pos_entry_gap_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_5|int_gap_asset_hinge_pos_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k2_0|int_gap_asset_hinge_pos_gap_surprise_k2_0|int_gap_asset_hinge_pos_gap_surprise_k1_5
0,combined_interaction_ridge,21,int_regime_signal_hinge_pos_cross_sectional_dispersion_k1_0|int_regime_signal_hinge_neg_realized_vol_20d_k1_0|int_regime_signal_hinge_neg_topix_intraday_vol_k1_0|int_regime_signal_hinge_pos_vix_return_k1_0|int_regime_signal_hinge_neg_vix_return_k1_0|int_gap_asset_hinge_neg_jp_open_gap_k1_0|int_gap_asset_hinge_neg_entry_gap_k1_0|int_gap_asset_hinge_neg_jp_open_gap_k1_5|int_gap_asset_hinge_neg_entry_gap_k1_5|int_gap_asset_hinge_neg_jp_open_gap_k2_0|int_gap_asset_hinge_neg_entry_gap_k2_0|int_regime_signal_hinge_neg_cross_sectional_dispersion_k1_0|int_gap_asset_hinge_pos_jp_open_gap_k1_5|int_gap_asset_hinge_pos_entry_gap_k1_5|int_macro_beta_hinge_neg_topix_futures_return_k1_0_beta252|int_gap_asset_hinge_pos_jp_open_gap_k1_0|int_gap_asset_hinge_pos_entry_gap_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_5|int_gap_asset_hinge_pos_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k2_0
0,combined_interaction_elasticnet,21,int_regime_signal_hinge_pos_cross_sectional_dispersion_k1_0|int_regime_signal_hinge_neg_realized_vol_20d_k1_0|int_regime_signal_hinge_neg_topix_intraday_vol_k1_0|int_regime_signal_hinge_pos_vix_return_k1_0|int_regime_signal_hinge_neg_vix_return_k1_0|int_gap_asset_hinge_neg_jp_open_gap_k1_0|int_gap_asset_hinge_neg_entry_gap_k1_0|int_gap_asset_hinge_neg_jp_open_gap_k1_5|int_gap_asset_hinge_neg_entry_gap_k1_5|int_gap_asset_hinge_neg_jp_open_gap_k2_0|int_gap_asset_hinge_neg_entry_gap_k2_0|int_regime_signal_hinge_neg_cross_sectional_dispersion_k1_0|int_gap_asset_hinge_pos_jp_open_gap_k1_5|int_gap_asset_hinge_pos_entry_gap_k1_5|int_macro_beta_hinge_neg_topix_futures_return_k1_0_beta252|int_gap_asset_hinge_pos_jp_open_gap_k1_0|int_gap_asset_hinge_pos_entry_gap_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k1_5|int_gap_asset_hinge_pos_gap_surprise_k1_0|int_gap_asset_hinge_neg_gap_surprise_k2_0
