sector_etf,ticker,name,sector_name,active_from,active_to,borrowable,borrow_bps,weight_hint
1617.T,1332.T,ニッスイ,食品,2015-01-01,,1,50,
1618.T,1605.T,ＩＮＰＥＸ,エネルギー資源,2015-01-01,,1,50,
1619.T,1721.T,コムシスホールディングス,建設・資材,2015-01-01,,1,50,
1619.T,1801.T,大成建設,建設・資材,2015-01-01,,1,50,
1619.T,1802.T,大林組,建設・資材,2015-01-01,,1,50,
1619.T,1803.T,清水建設,建設・資材,2015-01-01,,1,50,
1619.T,1808.T,長谷工コーポレーション,建設・資材,2015-01-01,,1,50,
1619.T,1812.T,鹿島建設,建設・資材,2015-01-01,,1,50,
1619.T,1925.T,大和ハウス工業,建設・資材,2015-01-01,,1,50,
1619.T,1928.T,積水ハウス,建設・資材,2015-01-01,,1,50,
1619.T,1963.T,日揮ホールディングス,建設・資材,2015-01-01,,1,50,
1617.T,2002.T,日清製粉グループ本社,食品,2015-01-01,,1,50,
1617.T,2269.T,明治ホールディングス,食品,2015-01-01,,1,50,
1617.T,2282.T,日本ハム,食品,2015-01-01,,1,50,
1626.T,2413.T,エムスリー,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,2432.T,ディー・エヌ・エー,情報通信・サービスその他,2015-01-01,,1,50,
1617.T,2501.T,サッポロホールディングス,食品,2015-01-01,,1,50,
1617.T,2502.T,アサヒグループホールディングス,食品,2015-01-01,,1,50,
1617.T,2503.T,キリンホールディングス,食品,2015-01-01,,1,50,
1629.T,2768.T,双日,商社・卸売,2015-01-01,,1,50,
1617.T,2801.T,キッコーマン,食品,2015-01-01,,1,50,
1617.T,2802.T,味の素,食品,2015-01-01,,1,50,
1617.T,2871.T,ニチレイ,食品,2015-01-01,,1,50,
1617.T,2914.T,日本たばこ産業,食品,2015-01-01,,1,50,
1630.T,3086.T,Ｊ．フロント　リテイリング,小売,2015-01-01,,1,50,
1630.T,3092.T,ＺＯＺＯ,小売,2015-01-01,,1,50,
1630.T,3099.T,三越伊勢丹ホールディングス,小売,2015-01-01,,1,50,
1633.T,3289.T,東急不動産ホールディングス,不動産,2015-01-01,,1,50,
1630.T,3382.T,セブン＆アイ・ホールディングス,小売,2015-01-01,,1,50,
1620.T,3401.T,帝人,素材・化学,2015-01-01,,1,50,
1620.T,3402.T,東レ,素材・化学,2015-01-01,,1,50,
1620.T,3405.T,クラレ,素材・化学,2015-01-01,,1,50,
1620.T,3407.T,旭化成,素材・化学,2015-01-01,,1,50,
1619.T,3436.T,ＳＵＭＣＯ,建設・資材,2015-01-01,,1,50,
1626.T,3659.T,ネクソン,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,3697.T,ＳＨＩＦＴ,情報通信・サービスその他,2015-01-01,,1,50,
1620.T,3861.T,王子ホールディングス,素材・化学,2015-01-01,,1,50,
1620.T,4004.T,レゾナック・ホールディングス,素材・化学,2015-01-01,,1,50,
1620.T,4005.T,住友化学,素材・化学,2015-01-01,,1,50,
1620.T,4021.T,日産化学,素材・化学,2015-01-01,,1,50,
1620.T,4042.T,東ソー,素材・化学,2015-01-01,,1,50,
1620.T,4043.T,トクヤマ,素材・化学,2015-01-01,,1,50,
1620.T,4061.T,デンカ,素材・化学,2015-01-01,,1,50,
1625.T,4062.T,イビデン,電機・精密,2015-01-01,,1,50,
1620.T,4063.T,信越化学工業,素材・化学,2015-01-01,,1,50,
1621.T,4151.T,協和キリン,医薬品,2015-01-01,,1,50,
1620.T,4183.T,三井化学,素材・化学,2015-01-01,,1,50,
1620.T,4188.T,三菱ケミカルグループ,素材・化学,2015-01-01,,1,50,
1620.T,4208.T,ＵＢＥ,素材・化学,2015-01-01,,1,50,
1626.T,4307.T,野村総合研究所,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,4324.T,電通グループ,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,4385.T,メルカリ,情報通信・サービスその他,2015-01-01,,1,50,
1620.T,4452.T,花王,素材・化学,2015-01-01,,1,50,
1621.T,4502.T,武田薬品工業,医薬品,2015-01-01,,1,50,
1621.T,4503.T,アステラス製薬,医薬品,2015-01-01,,1,50,
1621.T,4506.T,住友ファーマ,医薬品,2015-01-01,,1,50,
1621.T,4507.T,塩野義製薬,医薬品,2015-01-01,,1,50,
1621.T,4519.T,中外製薬,医薬品,2015-01-01,,1,50,
1621.T,4523.T,エーザイ,医薬品,2015-01-01,,1,50,
1625.T,4543.T,テルモ,電機・精密,2015-01-01,,1,50,
1621.T,4568.T,第一三共,医薬品,2015-01-01,,1,50,
1621.T,4578.T,大塚ホールディングス,医薬品,2015-01-01,,1,50,
1626.T,4661.T,オリエンタルランド,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,4689.T,ＬＩＮＥヤフー,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,4704.T,トレンドマイクロ,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,4751.T,サイバーエージェント,情報通信・サービスその他,2015-01-01,,1,50,
1626.T,4755.T,楽天グループ,情報通信・サービスその他,2015-01-01,,1,50,
1620.T,4901.T,富士フイルムホールディングス,素材・化学,2015-01-01,,1,50,
1625.T,4902.T,コニカミノルタ,電機・精密,2015-01-01,,1,50,
1620.T,4911.T,資生堂,素材・化学,2015-01-01,,1,50,
1618.T,5019.T,出光興産,エネルギー資源,2015-01-01,,1,50,
1618.T,5020.T,ＥＮＥＯＳホールディングス,エネルギー資源,2015-01-01,,1,50,
1622.T,5101.T,横浜ゴム,自動車・輸送機,2015-01-01,,1,50,
1622.T,5108.T,ブリヂストン,自動車・輸送機,2015-01-01,,1,50,
1619.T,5201.T,ＡＧＣ,建設・資材,2015-01-01,,1,50,
1619.T,5214.T,日本電気硝子,建設・資材,2015-01-01,,1,50,
1619.T,5233.T,太平洋セメント,建設・資材,2015-01-01,,1,50,
1619.T,5301.T,東海カーボン,建設・資材,2015-01-01,,1,50,
1619.T,5332.T,ＴＯＴＯ,建設・資材,2015-01-01,,1,50,
1619.T,5333.T,ＮＧＫ,建設・資材,2015-01-01,,1,50,
1623.T,5401.T,日本製鉄,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5406.T,神戸製鋼所,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5411.T,ＪＦＥホールディングス,鉄鋼・非鉄,2015-01-01,,1,50,
1624.T,5631.T,日本製鋼所,機械,2015-01-01,,1,50,
1623.T,5706.T,三井金属,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5711.T,三菱マテリアル,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5713.T,住友金属鉱山,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5714.T,ＤＯＷＡホールディングス,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5801.T,古河電気工業,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5802.T,住友電気工業,鉄鋼・非鉄,2015-01-01,,1,50,
1623.T,5803.T,フジクラ,鉄鋼・非鉄,2015-01-01,,1,50,
1631.T,5831.T,しずおかフィナンシャルグループ,銀行,2015-01-01,,1,50,
1626.T,6098.T,リクルートホールディングス,情報通信・サービスその他,2015-01-01,,1,50,
1624.T,6103.T,オークマ,機械,2015-01-01,,1,50,
1624.T,6113.T,アマダ,機械,2015-01-01,,1,50,
1624.T,6146.T,ディスコ,機械,2015-01-01,,1,50,
1626.T,6178.T,日本郵政,情報通信・サービスその他,2015-01-01,,1,50,
1624.T,6273.T,ＳＭＣ,機械,2015-01-01,,1,50,
1624.T,6301.T,小松製作所,機械,2015-01-01,,1,50,
1624.T,6302.T,住友重機械工業,機械,2015-01-01,,1,50,
1624.T,6305.T,日立建機,機械,2015-01-01,,1,50,
1624.T,6326.T,クボタ,機械,2015-01-01,,1,50,
1624.T,6361.T,荏原製作所,機械,2015-01-01,,1,50,
1624.T,6367.T,ダイキン工業,機械,2015-01-01,,1,50,
1624.T,6471.T,日本精工,機械,2015-01-01,,1,50,
1624.T,6472.T,ＮＴＮ,機械,2015-01-01,,1,50,
1624.T,6473.T,ジェイテクト,機械,2015-01-01,,1,50,
1625.T,6479.T,ミネベアミツミ,電機・精密,2015-01-01,,1,50,
1625.T,6501.T,日立製作所,電機・精密,2015-01-01,,1,50,
1625.T,6503.T,三菱電機,電機・精密,2015-01-01,,1,50,
1625.T,6504.T,富士電機,電機・精密,2015-01-01,,1,50,
1625.T,6506.T,安川電機,電機・精密,2015-01-01,,1,50,
1625.T,6526.T,ソシオネクスト,電機・精密,2015-01-01,,1,50,
1626.T,6532.T,ベイカレント,情報通信・サービスその他,2015-01-01,,1,50,
1625.T,6645.T,オムロン,電機・精密,2015-01-01,,1,50,
1625.T,6701.T,日本電気,電機・精密,2015-01-01,,1,50,
1625.T,6702.T,富士通,電機・精密,2015-01-01,,1,50,
1625.T,6723.T,ルネサスエレクトロニクス,電機・精密,2015-01-01,,1,50,
1625.T,6724.T,セイコーエプソン,電機・精密,2015-01-01,,1,50,
1625.T,6752.T,パナソニック　ホールディングス,電機・精密,2015-01-01,,1,50,
1625.T,6753.T,シャープ,電機・精密,2015-01-01,,1,50,
1625.T,6758.T,ソニーグループ,電機・精密,2015-01-01,,1,50,
1625.T,6762.T,ＴＤＫ,電機・精密,2015-01-01,,1,50,
1625.T,6770.T,アルプスアルパイン,電機・精密,2015-01-01,,1,50,
