feature,importance
abs_score,8
vix_spread_z_x_score,6
ticker,4
market_vol_20d,3
gap_idio,3
jp_vix_z,2
jp_vix_z_x_score_x_gap_idio,2
jp_vix_z_x_score,1
topix_night,1
us_vix_z_x_score,1
ticker_1630.T_score_x_gap_idio,0
ticker_1631.T_score,0
ticker_1630.T_score_x_gap,0
ticker_1629.T_gap,0
ticker_1630.T_gap_idio,0
ticker_1630.T_gap,0
ticker_1630.T_score,0
ticker_1629.T_score_x_gap_idio,0
ticker_1629.T_score_x_gap,0
ticker_1629.T_gap_idio,0
ticker_1628.T_gap_idio,0
ticker_1629.T_score,0
ticker_1628.T_score_x_gap_idio,0
ticker_1628.T_score_x_gap,0
ticker_1631.T_gap_idio,0
ticker_1628.T_gap,0
ticker_1628.T_score,0
ticker_1627.T_score_x_gap_idio,0
ticker_1627.T_score_x_gap,0
ticker_1627.T_gap_idio,0
ticker_1631.T_gap,0
ticker_1632.T_gap_idio,0
ticker_1631.T_score_x_gap,0
us_vix_z,0
vix_spread_z_x_score_x_gap_idio,0
vix_spread_z_x_score_x_gap,0
vix_spread_z_x_gap,0
vix_spread_z,0
jp_vix_z_x_score_x_gap,0
jp_vix_z_x_gap,0
us_vix_z_x_score_x_gap_idio,0
us_vix_z_x_score_x_gap,0
us_vix_z_x_gap,0
ticker_1633.T_score_x_gap_idio,0
ticker_1631.T_score_x_gap_idio,0
ticker_1633.T_score_x_gap,0
ticker_1633.T_gap_idio,0
ticker_1633.T_gap,0
ticker_1633.T_score,0
ticker_1632.T_score_x_gap_idio,0
ticker_1632.T_score_x_gap,0
ticker_1627.T_score,0
ticker_1632.T_gap,0
ticker_1632.T_score,0
ticker_1627.T_gap,0
sigma_gap,0
ticker_1626.T_score_x_gap_idio,0
ticker_1619.T_score,0
ticker_1621.T_score,0
ticker_1620.T_score_x_gap_idio,0
ticker_1620.T_score_x_gap,0
ticker_1620.T_gap_idio,0
ticker_1620.T_gap,0
ticker_1620.T_score,0
ticker_1619.T_score_x_gap_idio,0
ticker_1619.T_score_x_gap,0
ticker_1619.T_gap_idio,0
ticker_1619.T_gap,0
ticker_1618.T_score_x_gap_idio,0
ticker_1621.T_gap_idio,0
ticker_1618.T_score_x_gap,0
ticker_1618.T_gap_idio,0
ticker_1618.T_gap,0
ticker_1618.T_score,0
ticker_1617.T_score_x_gap_idio,0
ticker_1617.T_score_x_gap,0
ticker_1617.T_gap_idio,0
ticker_1617.T_gap,0
ticker_1617.T_score,0
abs_gap,0
ticker_1621.T_gap,0
ticker_1621.T_score_x_gap,0
ticker_1626.T_score_x_gap,0
ticker_1624.T_gap,0
ticker_1626.T_gap,0
ticker_1626.T_score,0
ticker_1625.T_score_x_gap_idio,0
ticker_1625.T_score_x_gap,0
ticker_1625.T_gap_idio,0
ticker_1625.T_gap,0
ticker_1625.T_score,0
ticker_1624.T_score_x_gap_idio,0
ticker_1624.T_score_x_gap,0
ticker_1624.T_gap_idio,0
ticker_1624.T_score,0
ticker_1621.T_score_x_gap_idio,0
ticker_1623.T_score_x_gap_idio,0
ticker_1623.T_score_x_gap,0
ticker_1623.T_gap_idio,0
ticker_1623.T_gap,0
ticker_1623.T_score,0
ticker_1622.T_score_x_gap_idio,0
ticker_1622.T_score_x_gap,0
ticker_1622.T_gap_idio,0
ticker_1622.T_gap,0
ticker_1622.T_score,0
ticker_1626.T_gap_idio,0
