feature,importance
ticker,114
topix_night,104
abs_score,101
gap_idio,86
abs_gap,51
market_vol_20d,45
sigma_gap,13
ticker_1617.T_gap,0
ticker_1628.T_score,0
ticker_1629.T_score_x_gap,0
ticker_1629.T_gap_idio,0
ticker_1629.T_gap,0
ticker_1629.T_score,0
ticker_1628.T_score_x_gap_idio,0
ticker_1628.T_score_x_gap,0
ticker_1628.T_gap_idio,0
ticker_1628.T_gap,0
ticker_1627.T_score_x_gap_idio,0
ticker_1625.T_score_x_gap_idio,0
ticker_1627.T_score_x_gap,0
ticker_1627.T_gap_idio,0
ticker_1627.T_gap,0
ticker_1627.T_score,0
ticker_1626.T_score_x_gap_idio,0
ticker_1626.T_score_x_gap,0
ticker_1626.T_gap_idio,0
ticker_1626.T_gap,0
ticker_1629.T_score_x_gap_idio,0
ticker_1630.T_score,0
ticker_1630.T_gap,0
ticker_1630.T_gap_idio,0
ticker_1633.T_score_x_gap_idio,0
ticker_1633.T_score_x_gap,0
ticker_1633.T_gap_idio,0
ticker_1633.T_gap,0
ticker_1633.T_score,0
ticker_1632.T_score_x_gap_idio,0
ticker_1632.T_score_x_gap,0
ticker_1632.T_gap_idio,0
ticker_1632.T_gap,0
ticker_1632.T_score,0
ticker_1631.T_score_x_gap_idio,0
ticker_1631.T_score_x_gap,0
ticker_1631.T_gap_idio,0
ticker_1631.T_gap,0
ticker_1631.T_score,0
ticker_1630.T_score_x_gap_idio,0
ticker_1630.T_score_x_gap,0
ticker_1626.T_score,0
ticker_1625.T_score_x_gap,0
ticker_1617.T_gap_idio,0
ticker_1619.T_gap_idio,0
ticker_1621.T_score,0
ticker_1620.T_score_x_gap_idio,0
ticker_1620.T_score_x_gap,0
ticker_1620.T_gap_idio,0
ticker_1620.T_gap,0
ticker_1620.T_score,0
ticker_1619.T_score_x_gap_idio,0
ticker_1619.T_score_x_gap,0
ticker_1619.T_gap,0
ticker_1625.T_gap_idio,0
ticker_1619.T_score,0
ticker_1618.T_score_x_gap_idio,0
ticker_1618.T_score_x_gap,0
ticker_1618.T_gap_idio,0
ticker_1618.T_gap,0
ticker_1618.T_score,0
ticker_1617.T_score_x_gap_idio,0
ticker_1617.T_score_x_gap,0
ticker_1621.T_gap,0
ticker_1621.T_gap_idio,0
ticker_1621.T_score_x_gap,0
ticker_1621.T_score_x_gap_idio,0
ticker_1625.T_gap,0
ticker_1617.T_score,0
ticker_1624.T_score_x_gap_idio,0
ticker_1624.T_score_x_gap,0
ticker_1624.T_gap_idio,0
ticker_1624.T_gap,0
ticker_1624.T_score,0
ticker_1623.T_score_x_gap_idio,0
ticker_1623.T_score_x_gap,0
ticker_1623.T_gap_idio,0
ticker_1623.T_gap,0
ticker_1623.T_score,0
ticker_1622.T_score_x_gap_idio,0
ticker_1622.T_score_x_gap,0
ticker_1622.T_gap_idio,0
ticker_1622.T_gap,0
ticker_1622.T_score,0
ticker_1625.T_score,0
