feature,importance
abs_score,55
ticker,53
gap_idio,35
vix_spread_z_x_score_x_gap,33
vix_spread_z_x_score,33
topix_night,33
jp_vix_z,30
jp_vix_z_x_score_x_gap_idio,20
vix_spread_z_x_gap,17
market_vol_20d,15
abs_gap,14
us_vix_z,13
us_vix_z_x_score_x_gap_idio,9
us_vix_z_x_score,9
vix_spread_z_x_score_x_gap_idio,7
jp_vix_z_x_score_x_gap,7
jp_vix_z_x_score,5
us_vix_z_x_score_x_gap,5
sigma_gap,5
vix_spread_z,3
jp_vix_z_x_gap,3
us_vix_z_x_gap,3
ticker_1619.T_score_x_gap,0
ticker_1630.T_score_x_gap,0
ticker_1632.T_score,0
ticker_1631.T_score_x_gap_idio,0
ticker_1631.T_score_x_gap,0
ticker_1631.T_gap_idio,0
ticker_1631.T_gap,0
ticker_1631.T_score,0
ticker_1630.T_score_x_gap_idio,0
ticker_1630.T_gap,0
ticker_1630.T_gap_idio,0
ticker_1632.T_gap_idio,0
ticker_1630.T_score,0
ticker_1629.T_score_x_gap_idio,0
ticker_1629.T_score_x_gap,0
ticker_1629.T_gap_idio,0
ticker_1629.T_gap,0
ticker_1629.T_score,0
ticker_1628.T_score_x_gap_idio,0
ticker_1632.T_gap,0
ticker_1632.T_score_x_gap_idio,0
ticker_1632.T_score_x_gap,0
ticker_1619.T_score_x_gap_idio,0
ticker_1617.T_score,0
ticker_1617.T_gap,0
ticker_1617.T_gap_idio,0
ticker_1617.T_score_x_gap,0
ticker_1617.T_score_x_gap_idio,0
ticker_1618.T_score,0
ticker_1618.T_gap,0
ticker_1618.T_gap_idio,0
ticker_1618.T_score_x_gap,0
ticker_1618.T_score_x_gap_idio,0
ticker_1619.T_score,0
ticker_1619.T_gap,0
ticker_1633.T_score_x_gap_idio,0
ticker_1633.T_score_x_gap,0
ticker_1633.T_gap_idio,0
ticker_1633.T_gap,0
ticker_1633.T_score,0
ticker_1628.T_score_x_gap,0
ticker_1628.T_gap_idio,0
ticker_1628.T_gap,0
ticker_1621.T_score_x_gap_idio,0
ticker_1623.T_gap_idio,0
ticker_1623.T_gap,0
ticker_1623.T_score,0
ticker_1622.T_score_x_gap_idio,0
ticker_1622.T_score_x_gap,0
ticker_1622.T_gap_idio,0
ticker_1622.T_gap,0
ticker_1622.T_score,0
ticker_1621.T_score_x_gap,0
ticker_1623.T_score_x_gap_idio,0
ticker_1621.T_gap_idio,0
ticker_1621.T_gap,0
ticker_1621.T_score,0
ticker_1620.T_score_x_gap_idio,0
ticker_1620.T_score_x_gap,0
ticker_1620.T_gap_idio,0
ticker_1620.T_gap,0
ticker_1620.T_score,0
ticker_1623.T_score_x_gap,0
ticker_1624.T_score,0
ticker_1628.T_score,0
ticker_1626.T_gap,0
ticker_1627.T_score_x_gap_idio,0
ticker_1627.T_score_x_gap,0
ticker_1627.T_gap_idio,0
ticker_1627.T_gap,0
ticker_1627.T_score,0
ticker_1626.T_score_x_gap_idio,0
ticker_1626.T_score_x_gap,0
ticker_1619.T_gap_idio,0
ticker_1626.T_score,0
ticker_1624.T_gap,0
ticker_1625.T_score_x_gap_idio,0
ticker_1625.T_score_x_gap,0
ticker_1625.T_gap_idio,0
ticker_1625.T_gap,0
ticker_1625.T_score,0
ticker_1624.T_score_x_gap_idio,0
ticker_1624.T_score_x_gap,0
ticker_1624.T_gap_idio,0
ticker_1626.T_gap_idio,0
