variant_idx,label,sharpe_net,AR_net,MDD,Turnover
0,baseline,8.358022817605193,1.4204247146286777,-0.06891987190955606,1.6392251302819345
1,rho=0.005,8.356550653296734,1.4198318821421623,-0.06887719665233194,1.639184271692806
2,rho=0.02,8.357848258344895,1.4209944070107579,-0.069005493849157,1.6390290025149237
3,alpha_xx=0.1,8.355263994849834,1.4197035973113374,-0.06821172781981277,1.637947266160448
4,alpha_xx=0.4,8.324290348547178,1.4101586275392386,-0.06888098257688169,1.6392923258538061
5,alpha_yx=0.075,8.352239047508496,1.4163237289566029,-0.06822869646107843,1.6388290623144726
6,alpha_yx=0.3,8.361839878780676,1.424960070156403,-0.06936710977705451,1.6395288764592124
7,alpha_yy=0.25,8.339532803439885,1.4681879403541267,-0.07167393222186924,1.6629762603806206
8,alpha_yy=1,8.398803682457768,1.3060340046043533,-0.06388008324960659,1.5828324370462659
9,lambda_pca=0.05,8.334793132267599,1.4145655973087745,-0.06764781728952318,1.6390467255242533
10,lambda_pca=0.2,8.37482038772821,1.4282750344017316,-0.07011836024974583,1.639201912583363
11,lambda_sector=0.3,8.348908297640596,1.4356506100956337,-0.07108412884367887,1.6421848407499615
12,lambda_sector=1.2,8.295323767073473,1.4067570892066221,-0.06874122395901472,1.6370958430038836
13,beta_conf=0.125,8.35742876003181,1.421112332416859,-0.06894449290418136,1.6389699179783457
14,beta_conf=0.5,8.357312639134731,1.4179668881240404,-0.0688706558305624,1.6391243434058391
15,winsor_sigma=1.5,8.233715053584683,1.3911257412262863,-0.06657084438925231,1.6311390506421812
16,winsor_sigma=6,8.370283301037976,1.4255767403999096,-0.07172248013466065,1.6394834566203278
17,blp_window=252,8.327372074832974,1.413128067087516,-0.06869765723337395,1.6403148477134137
18,blp_window=1008,8.355729007407355,1.4229576929799692,-0.07033820769678512,1.638257748482363
19,ewma_halflife=60,8.314848575590327,1.4160771760307558,-0.06665720104124062,1.6393008438064818
20,ewma_halflife=240,8.292772837739376,1.4124962278102233,-0.07036938747673638,1.6375162694335688
21,sector_eta=0.25,8.329689466840314,1.4166459464406036,-0.0698218580377048,1.6388844090286345
22,sector_eta=1,7.866611450756694,1.3803356065117178,-0.06757589913639217,1.6384613903059602
23,sector_gamma=2,8.355977495455127,1.4205074349513556,-0.06818921986361393,1.6393256722697158
24,sector_gamma=8,8.33168027570619,1.417798657293494,-0.0676945121295276,1.638227575692257
