trade_date,1617.T,1618.T,1619.T,1620.T,1621.T,1622.T,1623.T,1624.T,1625.T,1626.T,1627.T,1628.T,1629.T,1630.T,1631.T,1632.T,1633.T
2009-01-07,,,,,,,,,,,,,,,,,
2009-01-08,,,,,,,,,,,,,,,,,
2009-01-09,,,,,,,,,,,,,,,,,
2009-01-13,,,,,,,,,,,,,,,,,
2009-01-14,,,,,,,,,,,,,,,,,
2009-01-15,,,,,,,,,,,,,,,,,
2009-01-16,,,,,,,,,,,,,,,,,
2009-01-19,,,,,,,,,,,,,,,,,
2009-01-21,,,,,,,,,,,,,,,,,
2009-01-22,,,,,,,,,,,,,,,,,
2009-01-23,,,,,,,,,,,,,,,,,
2009-01-26,,,,,,,,,,,,,,,,,
2009-01-27,,,,,,,,,,,,,,,,,
2009-01-28,,,,,,,,,,,,,,,,,
2009-01-29,,,,,,,,,,,,,,,,,
2009-01-30,,,,,,,,,,,,,,,,,
2009-02-02,,,,,,,,,,,,,,,,,
2009-02-03,,,,,,,,,,,,,,,,,
2009-02-04,,,,,,,,,,,,,,,,,
2009-02-05,,,,,,,,,,,,,,,,,
2009-02-06,,,,,,,,,,,,,,,,,
2009-02-09,,,,,,,,,,,,,,,,,
2009-02-10,,,,,,,,,,,,,,,,,
2009-02-12,,,,,,,,,,,,,,,,,
2009-02-13,,,,,,,,,,,,,,,,,
2009-02-16,,,,,,,,,,,,,,,,,
2009-02-18,,,,,,,,,,,,,,,,,
2009-02-19,,,,,,,,,,,,,,,,,
2009-02-20,,,,,,,,,,,,,,,,,
2009-02-23,,,,,,,,,,,,,,,,,
2009-02-24,,,,,,,,,,,,,,,,,
2009-02-25,,,,,,,,,,,,,,,,,
2009-02-26,,,,,,,,,,,,,,,,,
2009-02-27,,,,,,,,,,,,,,,,,
2009-03-02,,,,,,,,,,,,,,,,,
2009-03-03,,,,,,,,,,,,,,,,,
2009-03-04,,,,,,,,,,,,,,,,,
2009-03-05,,,,,,,,,,,,,,,,,
2009-03-06,,,,,,,,,,,,,,,,,
2009-03-09,,,,,,,,,,,,,,,,,
2009-03-10,,,,,,,,,,,,,,,,,
2009-03-11,,,,,,,,,,,,,,,,,
2009-03-12,,,,,,,,,,,,,,,,,
2009-03-13,,,,,,,,,,,,,,,,,
2009-03-16,,,,,,,,,,,,,,,,,
2009-03-17,,,,,,,,,,,,,,,,,
2009-03-18,,,,,,,,,,,,,,,,,
2009-03-19,,,,,,,,,,,,,,,,,
2009-03-23,,,,,,,,,,,,,,,,,
2009-03-24,,,,,,,,,,,,,,,,,
2009-03-25,,,,,,,,,,,,,,,,,
2009-03-26,,,,,,,,,,,,,,,,,
2009-03-27,,,,,,,,,,,,,,,,,
2009-03-30,,,,,,,,,,,,,,,,,
2009-03-31,,,,,,,,,,,,,,,,,
2009-04-01,,,,,,,,,,,,,,,,,
2009-04-02,,,,,,,,,,,,,,,,,
2009-04-03,,,,,,,,,,,,,,,,,
2009-04-06,,,,,,,,,,,,,,,,,
2009-04-07,,,,,,,,,,,,,,,,,
2009-04-08,,,,,,,,,,,,,,,,,
2009-04-09,,,,,,,,,,,,,,,,,
2009-04-10,,,,,,,,,,,,,,,,,
2009-04-14,,,,,,,,,,,,,,,,,
2009-04-15,,,,,,,,,,,,,,,,,
2009-04-16,,,,,,,,,,,,,,,,,
2009-04-17,,,,,,,,,,,,,,,,,
2009-04-20,,,,,,,,,,,,,,,,,
2009-04-21,,,,,,,,,,,,,,,,,
2009-04-22,,,,,,,,,,,,,,,,,
2009-04-23,,,,,,,,,,,,,,,,,
2009-04-24,,,,,,,,,,,,,,,,,
2009-04-27,,,,,,,,,,,,,,,,,
2009-04-28,,,,,,,,,,,,,,,,,
2009-04-30,,,,,,,,,,,,,,,,,
2009-05-01,,,,,,,,,,,,,,,,,
2009-05-07,,,,,,,,,,,,,,,,,
2009-05-08,,,,,,,,,,,,,,,,,
2009-05-11,,,,,,,,,,,,,,,,,
2009-05-12,,,,,,,,,,,,,,,,,
2009-05-13,,,,,,,,,,,,,,,,,
2009-05-14,,,,,,,,,,,,,,,,,
2009-05-15,,,,,,,,,,,,,,,,,
2009-05-18,,,,,,,,,,,,,,,,,
2009-05-19,,,,,,,,,,,,,,,,,
2009-05-20,,,,,,,,,,,,,,,,,
2009-05-21,,,,,,,,,,,,,,,,,
2009-05-22,,,,,,,,,,,,,,,,,
2009-05-25,,,,,,,,,,,,,,,,,
2009-05-27,,,,,,,,,,,,,,,,,
2009-05-28,,,,,,,,,,,,,,,,,
2009-05-29,,,,,,,,,,,,,,,,,
2009-06-01,,,,,,,,,,,,,,,,,
2009-06-02,,,,,,,,,,,,,,,,,
2009-06-03,,,,,,,,,,,,,,,,,
2009-06-04,,,,,,,,,,,,,,,,,
2009-06-05,,,,,,,,,,,,,,,,,
2009-06-08,,,,,,,,,,,,,,,,,
2009-06-09,,,,,,,,,,,,,,,,,
2009-06-10,,,,,,,,,,,,,,,,,
2009-06-11,,,,,,,,,,,,,,,,,
2009-06-12,,,,,,,,,,,,,,,,,
2009-06-15,,,,,,,,,,,,,,,,,
2009-06-16,,,,,,,,,,,,,,,,,
2009-06-17,,,,,,,,,,,,,,,,,
2009-06-18,,,,,,,,,,,,,,,,,
2009-06-19,,,,,,,,,,,,,,,,,
2009-06-22,,,,,,,,,,,,,,,,,
2009-06-23,,,,,,,,,,,,,,,,,
2009-06-24,,,,,,,,,,,,,,,,,
2009-06-25,,,,,,,,,,,,,,,,,
2009-06-26,,,,,,,,,,,,,,,,,
2009-06-29,,,,,,,,,,,,,,,,,
2009-06-30,,,,,,,,,,,,,,,,,
2009-07-01,,,,,,,,,,,,,,,,,
2009-07-02,,,,,,,,,,,,,,,,,
2009-07-03,,,,,,,,,,,,,,,,,
2009-07-07,,,,,,,,,,,,,,,,,
2009-07-08,,,,,,,,,,,,,,,,,
2009-07-09,,,,,,,,,,,,,,,,,
2009-07-10,,,,,,,,,,,,,,,,,
2009-07-13,,,,,,,,,,,,,,,,,
2009-07-14,,,,,,,,,,,,,,,,,
2009-07-15,,,,,,,,,,,,,,,,,
2009-07-16,,,,,,,,,,,,,,,,,
2009-07-17,,,,,,,,,,,,,,,,,
2009-07-21,,,,,,,,,,,,,,,,,
2009-07-22,,,,,,,,,,,,,,,,,
2009-07-23,,,,,,,,,,,,,,,,,
2009-07-24,,,,,,,,,,,,,,,,,
2009-07-27,,,,,,,,,,,,,,,,,
2009-07-28,,,,,,,,,,,,,,,,,
2009-07-29,,,,,,,,,,,,,,,,,
