trade_date,daily_return,daily_return_gross,daily_return_renorm,daily_return_renorm_gross,long_ret,short_ret,slippage_cost,gross_exposure,gross_exposure_renorm,net_exposure,net_exposure_renorm,n_long_filled,n_short_filled,n_long_total,n_short_total,n_filled
2015-01-05,0.0016611410169598976,0.0036611410169598976,0.0016611410169598971,0.0036611410169598967,-2.1414326630987474e-05,0.0036825553435908855,0.002,2.0,1.9999999999999998,-1.1102230246251565e-16,0.0,5,5,5,5,10
2015-01-06,-0.0027685087638903757,-0.0007685087638903756,-0.002768508763890373,-0.0007685087638903726,-0.010667828799275424,0.009899320035385052,0.002,2.0,2.0000000000000004,8.326672684688674e-17,-1.6653345369377348e-16,5,5,5,5,10
2015-01-07,0.006257085404843127,0.008257085404843127,0.0062570854048431285,0.008257085404843129,0.01412703345264502,-0.0058699480478018925,0.002,2.0,2.0000000000000004,-2.7755575615628914e-17,5.551115123125783e-17,5,5,5,5,10
2015-01-08,0.007309480990454059,0.00930948099045406,0.007309480990454059,0.00930948099045406,0.004182099231041016,0.005127381759413043,0.002,2.0,2.0,5.551115123125783e-17,1.6653345369377348e-16,5,5,5,5,10
2015-01-09,0.005403567556060208,0.007403567556060208,0.005403567556060208,0.007403567556060208,-0.0002770217116861466,0.007680589267746354,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-01-13,0.006678619251404125,0.008678619251404125,0.006678619251404125,0.008678619251404125,0.004171508355616637,0.004507110895787491,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-01-14,0.008267528719006496,0.010267528719006496,0.008267528719006495,0.010267528719006495,0.0015790876931608365,0.008688441025845659,0.002,2.0,1.9999999999999998,-1.3877787807814457e-17,-1.8041124150158794e-16,5,5,5,5,10
2015-01-15,0.0008927821459971137,0.0028927821459971137,0.0008927821459971141,0.0028927821459971146,0.005791570859779486,-0.002898788713782372,0.002,2.0,2.0000000000000004,0.0,2.220446049250313e-16,5,5,5,5,10
2015-01-16,-0.0061382713639402545,-0.0041382713639402545,-0.0061382713639402545,-0.0041382713639402545,8.404921961590857e-05,-0.0042223205835561625,0.002,2.0,2.0,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
2015-01-19,-0.0034022541742012215,-0.0014022541742012213,-0.0034022541742012215,-0.0014022541742012213,-0.0020788319673339267,0.0006765777931327056,0.002,2.0,2.0,-8.326672684688674e-17,-8.326672684688674e-17,5,5,5,5,10
2015-01-21,0.0015163661128037532,0.003516366112803753,0.0015163661128037532,0.003516366112803753,-0.0037466345545107763,0.007263000667314529,0.0019999999999999996,1.9999999999999998,1.9999999999999998,0.0,0.0,5,5,5,5,10
2015-01-22,-0.0015693798238561225,0.0004306201761438775,-0.0015693798238561225,0.0004306201761438775,-0.0030939608350511617,0.0035245810111950394,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-01-23,0.0027433936887531,0.0047433936887531,0.0027433936887531,0.0047433936887531,0.0019231683363819321,0.002820225352371168,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-01-26,-0.0014094683649578264,0.0005905316350421732,-0.0014094683649578264,0.0005905316350421732,0.0072030319928373205,-0.006612500357795147,0.0019999999999999996,1.9999999999999998,1.9999999999999998,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2015-01-27,0.0074522135933383134,0.009452213593338313,0.0074522135933383134,0.009452213593338313,0.011041596274140909,-0.0015893826808025932,0.002,2.0,2.0,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
2015-01-28,0.0047959869643196245,0.0067959869643196245,0.0047959869643196245,0.0067959869643196245,0.00926427563431555,-0.002468288669995927,0.0019999999999999996,1.9999999999999998,2.0,0.0,-2.220446049250313e-16,5,5,5,5,10
2015-01-29,-0.0007809538664054895,0.0012190461335945106,-0.0007809538664054897,0.0012190461335945108,0.0011127009063863346,0.00010634522720817592,0.002,2.0,2.0000000000000004,6.938893903907228e-17,-1.0408340855860843e-16,5,5,5,5,10
2015-01-30,-0.004980583912109834,-0.0029805839121098336,-0.004980583912109834,-0.0029805839121098336,-0.0013195711596720296,-0.0016610127524378042,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-02-02,0.003528454314273616,0.005528454314273616,0.003528454314273616,0.005528454314273616,0.0030427676578936333,0.0024856866563799833,0.002,2.0,2.0,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2015-02-03,0.011841297397380112,0.013841297397380112,0.011841297397380112,0.013841297397380112,-0.007890815601557513,0.02173211299893762,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-02-04,0.012675872676087847,0.014675872676087847,0.012675872676087847,0.014675872676087847,0.013155549247838592,0.0015203234282492543,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-05,0.00040091848152773446,0.002400918481527734,0.00040091848152773446,0.002400918481527734,0.007291012907122709,-0.004890094425594975,0.0019999999999999996,1.9999999999999998,1.9999999999999998,1.3877787807814457e-17,1.3877787807814457e-17,5,5,5,5,10
2015-02-06,0.0004977363739683436,0.0024977363739683437,0.0004977363739683436,0.0024977363739683437,0.0045382074204483374,-0.002040471046479994,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-09,0.00401274878656597,0.00601274878656597,0.00401274878656597,0.00601274878656597,-0.0013761449980836307,0.007388893784649601,0.0019999999999999996,1.9999999999999998,1.9999999999999998,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2015-02-10,-0.0055281934166306595,-0.0035281934166306594,-0.0055281934166306595,-0.0035281934166306594,0.0004516944130611086,-0.003979887829691768,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-12,0.0025363326531405543,0.004536332653140554,0.0025363326531405543,0.004536332653140554,0.005244098482589478,-0.0007077658294489233,0.002,2.0,2.0,8.326672684688674e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-13,0.0033678243086533305,0.0053678243086533305,0.0033678243086533305,0.0053678243086533305,-0.00040240113022993435,0.005770225438883265,0.002,2.0,2.0,-1.1102230246251565e-16,1.1102230246251565e-16,5,5,5,5,10
2015-02-16,0.006826446748140182,0.008826446748140182,0.006826446748140182,0.008826446748140182,0.008609908901172669,0.0002165378469675132,0.002,2.0,2.0,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2015-02-18,-7.42800305826971e-05,0.001925719969417303,-7.42800305826971e-05,0.001925719969417303,0.002591314065287346,-0.0006655940958700426,0.002,2.0,2.0,-5.551115123125783e-17,-2.220446049250313e-16,5,5,5,5,10
2015-02-19,0.004898983282968348,0.006898983282968348,0.004898983282968348,0.006898983282968348,0.0078011400748720285,-0.000902156791903681,0.002,2.0,2.0,-1.1102230246251565e-16,-1.1102230246251565e-16,5,5,5,5,10
2015-02-20,0.00211887076494492,0.00411887076494492,0.00211887076494492,0.00411887076494492,0.001501812191874138,0.002617058573070782,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-02-23,0.0037247811065163235,0.0057247811065163235,0.0037247811065163235,0.0057247811065163235,0.0015920905040085706,0.004132690602507753,0.002,2.0,2.0,2.7755575615628914e-17,2.7755575615628914e-17,5,5,5,5,10
2015-02-24,0.0029623078472268884,0.0049623078472268885,0.0029623078472268884,0.0049623078472268885,0.0055512115109483656,-0.0005889036637214772,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-02-25,0.013153473324547553,0.015153473324547553,0.013153473324547553,0.015153473324547553,0.0024125384688082102,0.012740934855739343,0.002,2.0,2.0,4.163336342344337e-17,4.163336342344337e-17,5,5,5,5,10
2015-02-26,0.005562313192525764,0.007562313192525764,0.005562313192525764,0.007562313192525764,0.0076931836102951,-0.000130870417769336,0.002,2.0,2.0,-5.551115123125783e-17,-5.551115123125783e-17,5,5,5,5,10
2015-02-27,0.0002796622682752119,0.002279662268275212,0.0002796622682752119,0.002279662268275212,0.0013145808875618518,0.00096508138071336,0.002,2.0,2.0,0.0,-2.220446049250313e-16,5,5,5,5,10
2015-03-02,7.689305885383389e-06,0.002007689305885383,7.689305885383389e-06,0.002007689305885383,-0.0004933315630719575,0.0025010208689573397,0.0019999999999999996,1.9999999999999998,1.9999999999999998,2.0816681711721685e-17,2.0816681711721685e-17,5,5,5,5,10
2015-03-03,0.006406736479276058,0.008406736479276058,0.006406736479276058,0.008406736479276058,-0.003702715042804016,0.012109451522080074,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-03-04,-0.002739819907262804,-0.0007398199072628042,-0.002739819907262804,-0.0007398199072628042,-0.0037233177478229814,0.0029834978405601773,0.002,2.0,2.0,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2015-03-05,0.000349043987018351,0.002349043987018351,0.000349043987018351,0.002349043987018351,0.006649673782378256,-0.004300629795359905,0.002,2.0,2.0,0.0,0.0,5,5,5,5,10
2015-03-06,0.004552459551234005,0.006552459551234005,0.004552459551234005,0.006552459551234005,0.0063231762597815745,0.00022928329145242935,0.002,2.0,2.0,5.551115123125783e-17,5.551115123125783e-17,5,5,5,5,10
2015-03-09,0.008682600533099154,0.010682600533099154,0.008682600533099155,0.010682600533099156,0.004969177156665023,0.005713423376434131,0.0019999999999999996,1.9999999999999998,2.0,0.0,1.6653345369377348e-16,5,5,5,5,10
2015-03-10,0.0021012896924666223,0.004101289692466622,0.0021012896924666223,0.004101289692466622,-0.0014636286431439593,0.005564918335610581,0.002,2.0,2.0,1.5265566588595902e-16,1.5265566588595902e-16,5,5,5,5,10
2015-03-11,0.0031291281857721513,0.005129128185772151,0.0031291281857721513,0.005129128185772151,0.007340235469920414,-0.0022111072841482626,0.002,2.0,2.0,-2.7755575615628914e-17,-2.7755575615628914e-17,5,5,5,5,10
