scenario,basis,margin_bps,renormalize,slip_on_entry,period,fill_rate_total_%,fill_rate_long_%,fill_rate_short_%,daily_fills_mean,AR_%,RISK_%,RR,MDD_%,Sharpe,AR_renorm_%,RISK_renorm_%,RR_renorm,MDD_renorm_%,net_mean,net_std,net_abs_gt5pct_%,port_beta_mean,port_beta_std
prev_close_-10bps_noslip,prev_close,-10,False,False,full,89.5,87.9,91.1,8.95,92.03,23.73,3.878,-8.57,3.878,110.03,27.06,4.067,-8.1,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-10bps_slip,prev_close,-10,False,True,full,89.5,87.9,91.1,8.95,69.28,23.32,2.97,-21.12,2.97,85.01,26.55,3.202,-20.19,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-10bps_renorm_noslip,prev_close,-10,True,False,full,89.5,87.9,91.1,8.95,92.03,23.73,3.878,-8.57,3.878,110.03,27.06,4.067,-8.1,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-10bps_renorm_slip,prev_close,-10,True,True,full,89.5,87.9,91.1,8.95,69.28,23.32,2.97,-21.12,2.97,85.01,26.55,3.202,-20.19,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-5bps_noslip,prev_close,-5,False,False,full,88.5,86.6,90.4,8.85,89.1,23.28,3.828,-8.88,3.828,107.74,26.89,4.007,-8.07,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_-5bps_slip,prev_close,-5,False,True,full,88.5,86.6,90.4,8.85,66.63,22.88,2.911,-22.26,2.911,82.85,26.39,3.14,-21.31,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_-5bps_renorm_noslip,prev_close,-5,True,False,full,88.5,86.6,90.4,8.85,89.1,23.28,3.828,-8.88,3.828,107.74,26.89,4.007,-8.07,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_-5bps_renorm_slip,prev_close,-5,True,True,full,88.5,86.6,90.4,8.85,66.63,22.88,2.911,-22.26,2.911,82.85,26.39,3.14,-21.31,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_+0bps_noslip,prev_close,0,False,False,full,87.7,85.6,89.8,8.77,87.97,23.0,3.824,-9.21,3.824,107.08,26.27,4.077,-8.03,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+0bps_slip,prev_close,0,False,True,full,87.7,85.6,89.8,8.77,65.69,22.62,2.904,-22.48,2.904,82.24,25.78,3.19,-21.62,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+0bps_renorm_noslip,prev_close,0,True,False,full,87.7,85.6,89.8,8.77,87.97,23.0,3.824,-9.21,3.824,107.08,26.27,4.077,-8.03,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+0bps_renorm_slip,prev_close,0,True,True,full,87.7,85.6,89.8,8.77,65.69,22.62,2.904,-22.48,2.904,82.24,25.78,3.19,-21.62,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+5bps_noslip,prev_close,5,False,False,full,76.4,73.0,79.8,7.64,74.72,20.9,3.575,-9.69,3.575,99.16,24.91,3.98,-8.97,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+5bps_slip,prev_close,5,False,True,full,76.4,73.0,79.8,7.64,54.92,20.35,2.699,-19.49,2.699,75.26,24.35,3.091,-14.98,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+5bps_renorm_noslip,prev_close,5,True,False,full,76.4,73.0,79.8,7.64,74.72,20.9,3.575,-9.69,3.575,99.16,24.91,3.98,-8.97,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+5bps_renorm_slip,prev_close,5,True,True,full,76.4,73.0,79.8,7.64,54.92,20.35,2.699,-19.49,2.699,75.26,24.35,3.091,-14.98,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+10bps_noslip,prev_close,10,False,False,full,75.1,71.7,78.5,7.51,73.32,20.77,3.531,-9.44,3.531,99.3,25.04,3.966,-9.67,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+10bps_slip,prev_close,10,False,True,full,75.1,71.7,78.5,7.51,53.81,20.22,2.661,-19.96,2.661,75.48,24.47,3.085,-14.89,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+10bps_renorm_noslip,prev_close,10,True,False,full,75.1,71.7,78.5,7.51,73.32,20.77,3.531,-9.44,3.531,99.3,25.04,3.966,-9.67,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+10bps_renorm_slip,prev_close,10,True,True,full,75.1,71.7,78.5,7.51,53.81,20.22,2.661,-19.96,2.661,75.48,24.47,3.085,-14.89,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+20bps_noslip,prev_close,20,False,False,full,71.9,68.3,75.6,7.19,70.56,20.47,3.447,-12.22,3.447,98.96,25.47,3.886,-11.14,-0.0664,0.495,84.6,-0.0426,0.408
prev_close_+20bps_slip,prev_close,20,False,True,full,71.9,68.3,75.6,7.19,51.74,19.92,2.597,-24.14,2.597,75.4,24.86,3.033,-20.91,-0.0664,0.495,84.6,-0.0426,0.408
prev_close_+20bps_renorm_noslip,prev_close,20,True,False,full,71.9,68.3,75.6,7.19,70.56,20.47,3.447,-12.22,3.447,98.96,25.47,3.886,-11.14,-0.0664,0.495,84.6,-0.0426,0.408
prev_close_+20bps_renorm_slip,prev_close,20,True,True,full,71.9,68.3,75.6,7.19,51.74,19.92,2.597,-24.14,2.597,75.4,24.86,3.033,-20.91,-0.0664,0.495,84.6,-0.0426,0.408
