scenario,basis,margin_bps,renormalize,slip_on_entry,period,fill_rate_total_%,fill_rate_long_%,fill_rate_short_%,daily_fills_mean,AR_%,RISK_%,RR,MDD_%,Sharpe,AR_renorm_%,RISK_renorm_%,RR_renorm,MDD_renorm_%,net_mean,net_std,net_abs_gt5pct_%,port_beta_mean,port_beta_std
prev_close_-10bps_noslip,prev_close,-10,False,False,oos,89.5,87.9,91.1,8.95,79.87,18.94,4.217,-8.57,4.217,101.31,21.73,4.663,-5.75,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-10bps_slip,prev_close,-10,False,True,oos,89.5,87.9,91.1,8.95,58.18,18.49,3.146,-10.3,3.146,76.92,21.2,3.628,-8.39,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-10bps_renorm_noslip,prev_close,-10,True,False,oos,89.5,87.9,91.1,8.95,79.87,18.94,4.217,-8.57,4.217,101.31,21.73,4.663,-5.75,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-10bps_renorm_slip,prev_close,-10,True,True,oos,89.5,87.9,91.1,8.95,58.18,18.49,3.146,-10.3,3.146,76.92,21.2,3.628,-8.39,-0.026,0.3088,49.7,-0.0172,0.3246
prev_close_-5bps_noslip,prev_close,-5,False,False,oos,88.5,86.6,90.4,8.85,78.05,19.0,4.108,-8.88,4.108,99.18,21.39,4.636,-6.51,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_-5bps_slip,prev_close,-5,False,True,oos,88.5,86.6,90.4,8.85,56.61,18.55,3.051,-10.57,3.051,74.95,20.88,3.589,-8.91,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_-5bps_renorm_noslip,prev_close,-5,True,False,oos,88.5,86.6,90.4,8.85,78.05,19.0,4.108,-8.88,4.108,99.18,21.39,4.636,-6.51,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_-5bps_renorm_slip,prev_close,-5,True,True,oos,88.5,86.6,90.4,8.85,56.61,18.55,3.051,-10.57,3.051,74.95,20.88,3.589,-8.91,-0.0323,0.3264,53.5,-0.0226,0.3336
prev_close_+0bps_noslip,prev_close,0,False,False,oos,87.7,85.6,89.8,8.77,76.86,18.74,4.101,-9.21,4.101,98.62,21.18,4.655,-6.82,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+0bps_slip,prev_close,0,False,True,oos,87.7,85.6,89.8,8.77,55.65,18.31,3.04,-10.87,3.04,74.45,20.69,3.598,-9.4,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+0bps_renorm_noslip,prev_close,0,True,False,oos,87.7,85.6,89.8,8.77,76.86,18.74,4.101,-9.21,4.101,98.62,21.18,4.655,-6.82,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+0bps_renorm_slip,prev_close,0,True,True,oos,87.7,85.6,89.8,8.77,55.65,18.31,3.04,-10.87,3.04,74.45,20.69,3.598,-9.4,-0.0358,0.3374,56.5,-0.0246,0.3392
prev_close_+5bps_noslip,prev_close,5,False,False,oos,76.4,73.0,79.8,7.64,63.77,17.98,3.547,-9.69,3.547,87.64,21.95,3.992,-8.56,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+5bps_slip,prev_close,5,False,True,oos,76.4,73.0,79.8,7.64,43.94,17.61,2.496,-11.98,2.496,64.01,21.47,2.981,-12.32,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+5bps_renorm_noslip,prev_close,5,True,False,oos,76.4,73.0,79.8,7.64,63.77,17.98,3.547,-9.69,3.547,87.64,21.95,3.992,-8.56,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+5bps_renorm_slip,prev_close,5,True,True,oos,76.4,73.0,79.8,7.64,43.94,17.61,2.496,-11.98,2.496,64.01,21.47,2.981,-12.32,-0.0615,0.451,77.9,-0.0405,0.3849
prev_close_+10bps_noslip,prev_close,10,False,False,oos,75.1,71.7,78.5,7.51,62.39,18.01,3.463,-9.44,3.463,87.51,21.81,4.013,-9.67,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+10bps_slip,prev_close,10,False,True,oos,75.1,71.7,78.5,7.51,42.86,17.64,2.43,-12.17,2.43,63.94,21.33,2.998,-12.39,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+10bps_renorm_noslip,prev_close,10,True,False,oos,75.1,71.7,78.5,7.51,62.39,18.01,3.463,-9.44,3.463,87.51,21.81,4.013,-9.67,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+10bps_renorm_slip,prev_close,10,True,True,oos,75.1,71.7,78.5,7.51,42.86,17.64,2.43,-12.17,2.43,63.94,21.33,2.998,-12.39,-0.0622,0.4647,80.5,-0.0412,0.3914
prev_close_+20bps_noslip,prev_close,20,False,False,oos,71.9,68.3,75.6,7.19,60.56,17.23,3.514,-9.24,3.514,87.08,21.21,4.106,-9.8,-0.0664,0.495,84.6,-0.0426,0.408
prev_close_+20bps_slip,prev_close,20,False,True,oos,71.9,68.3,75.6,7.19,41.73,16.88,2.472,-12.06,2.472,63.82,20.73,3.079,-12.71,-0.0664,0.495,84.6,-0.0426,0.408
prev_close_+20bps_renorm_noslip,prev_close,20,True,False,oos,71.9,68.3,75.6,7.19,60.56,17.23,3.514,-9.24,3.514,87.08,21.21,4.106,-9.8,-0.0664,0.495,84.6,-0.0426,0.408
prev_close_+20bps_renorm_slip,prev_close,20,True,True,oos,71.9,68.3,75.6,7.19,41.73,16.88,2.472,-12.06,2.472,63.82,20.73,3.079,-12.71,-0.0664,0.495,84.6,-0.0426,0.408
