scenario,basis,margin_bps,renormalize,slip_on_entry,period,fill_rate_total_%,fill_rate_long_%,fill_rate_short_%,daily_fills_mean,AR_%,RISK_%,RR,MDD_%,Sharpe,AR_renorm_%,RISK_renorm_%,RR_renorm,MDD_renorm_%,net_mean,net_std,net_abs_gt5pct_%,port_beta_mean,port_beta_std
theory_0bps_noslip,theory,0,False,False,oos,90.4,90.0,90.9,9.04,84.06,18.75,4.482,-5.85,4.482,100.49,21.3,4.719,-6.16,-0.0078,0.2855,42.2,-0.0053,0.3194
theory_0bps_slip,theory,0,False,True,oos,90.4,90.0,90.9,9.04,61.62,18.33,3.361,-7.56,3.361,76.21,20.83,3.659,-7.27,-0.0078,0.2855,42.2,-0.0053,0.3194
theory_0bps_renorm_noslip,theory,0,True,False,oos,90.4,90.0,90.9,9.04,84.06,18.75,4.482,-5.85,4.482,100.49,21.3,4.719,-6.16,-0.0078,0.2855,42.2,-0.0053,0.3194
theory_0bps_renorm_slip,theory,0,True,True,oos,90.4,90.0,90.9,9.04,61.62,18.33,3.361,-7.56,3.361,76.21,20.83,3.659,-7.27,-0.0078,0.2855,42.2,-0.0053,0.3194
theory_5bps_noslip,theory,5,False,False,oos,88.7,88.0,89.3,8.87,81.31,18.46,4.404,-5.82,4.404,98.55,21.25,4.638,-6.09,-0.0125,0.3126,48.6,-0.0082,0.331
theory_5bps_slip,theory,5,False,True,oos,88.7,88.0,89.3,8.87,59.19,18.05,3.28,-8.21,3.28,74.38,20.76,3.583,-8.08,-0.0125,0.3126,48.6,-0.0082,0.331
theory_5bps_renorm_noslip,theory,5,True,False,oos,88.7,88.0,89.3,8.87,81.31,18.46,4.404,-5.82,4.404,98.55,21.25,4.638,-6.09,-0.0125,0.3126,48.6,-0.0082,0.331
theory_5bps_renorm_slip,theory,5,True,True,oos,88.7,88.0,89.3,8.87,59.19,18.05,3.28,-8.21,3.28,74.38,20.76,3.583,-8.08,-0.0125,0.3126,48.6,-0.0082,0.331
theory_10bps_noslip,theory,10,False,False,oos,86.6,85.7,87.5,8.66,79.95,18.59,4.3,-5.74,4.3,99.21,21.54,4.607,-6.01,-0.016,0.3378,56.0,-0.0107,0.3404
theory_10bps_slip,theory,10,False,True,oos,86.6,85.7,87.5,8.66,58.12,18.17,3.199,-9.0,3.199,75.11,21.04,3.57,-8.46,-0.016,0.3378,56.0,-0.0107,0.3404
theory_10bps_renorm_noslip,theory,10,True,False,oos,86.6,85.7,87.5,8.66,79.95,18.59,4.3,-5.74,4.3,99.21,21.54,4.607,-6.01,-0.016,0.3378,56.0,-0.0107,0.3404
theory_10bps_renorm_slip,theory,10,True,True,oos,86.6,85.7,87.5,8.66,58.12,18.17,3.199,-9.0,3.199,75.11,21.04,3.57,-8.46,-0.016,0.3378,56.0,-0.0107,0.3404
theory_20bps_noslip,theory,20,False,False,oos,82.0,80.6,83.4,8.2,76.2,18.63,4.09,-6.11,4.09,99.0,22.28,4.443,-5.98,-0.0242,0.3922,68.2,-0.0169,0.363
theory_20bps_slip,theory,20,False,True,oos,82.0,80.6,83.4,8.2,55.06,18.21,3.023,-9.29,3.023,75.08,21.76,3.45,-9.23,-0.0242,0.3922,68.2,-0.0169,0.363
theory_20bps_renorm_noslip,theory,20,True,False,oos,82.0,80.6,83.4,8.2,76.2,18.63,4.09,-6.11,4.09,99.0,22.28,4.443,-5.98,-0.0242,0.3922,68.2,-0.0169,0.363
theory_20bps_renorm_slip,theory,20,True,True,oos,82.0,80.6,83.4,8.2,55.06,18.21,3.023,-9.29,3.023,75.08,21.76,3.45,-9.23,-0.0242,0.3922,68.2,-0.0169,0.363
theory_30bps_noslip,theory,30,False,False,oos,77.2,75.4,79.0,7.72,70.68,18.3,3.863,-7.68,3.863,96.67,22.22,4.35,-5.84,-0.0308,0.444,77.5,-0.022,0.3867
theory_30bps_slip,theory,30,False,True,oos,77.2,75.4,79.0,7.72,50.32,17.89,2.814,-10.49,2.814,72.98,21.69,3.364,-8.24,-0.0308,0.444,77.5,-0.022,0.3867
theory_30bps_renorm_noslip,theory,30,True,False,oos,77.2,75.4,79.0,7.72,70.68,18.3,3.863,-7.68,3.863,96.67,22.22,4.35,-5.84,-0.0308,0.444,77.5,-0.022,0.3867
theory_30bps_renorm_slip,theory,30,True,True,oos,77.2,75.4,79.0,7.72,50.32,17.89,2.814,-10.49,2.814,72.98,21.69,3.364,-8.24,-0.0308,0.444,77.5,-0.022,0.3867
theory_50bps_noslip,theory,50,False,False,oos,68.4,66.4,70.4,6.84,63.06,18.13,3.477,-9.1,3.477,94.01,23.21,4.051,-8.35,-0.0356,0.5309,88.8,-0.0246,0.4357
theory_50bps_slip,theory,50,False,True,oos,68.4,66.4,70.4,6.84,44.44,17.69,2.512,-12.86,2.512,71.1,22.64,3.14,-11.4,-0.0356,0.5309,88.8,-0.0246,0.4357
theory_50bps_renorm_noslip,theory,50,True,False,oos,68.4,66.4,70.4,6.84,63.06,18.13,3.477,-9.1,3.477,94.01,23.21,4.051,-8.35,-0.0356,0.5309,88.8,-0.0246,0.4357
theory_50bps_renorm_slip,theory,50,True,True,oos,68.4,66.4,70.4,6.84,44.44,17.69,2.512,-12.86,2.512,71.1,22.64,3.14,-11.4,-0.0356,0.5309,88.8,-0.0246,0.4357
