ticker,open_price,signal,weight,action,etf_amount,quantity
1617.T,45170.0,-0.001484015590166976,0.12073845189069672,BUY,90340.0,2
1618.T,33990.0,-0.006832477451590768,0.0,HOLD,0.0,0
1619.T,49200.0,-0.023953190849087758,-0.18088962473943315,SELL,147600.0,3
1620.T,39270.0,-0.014781033764138973,0.0,HOLD,0.0,0
1621.T,29700.0,-0.019949937009997143,-0.12252237300718094,SELL,89100.0,3
1622.T,34170.0,-0.027491298561389654,-0.23247506793147885,SELL,205020.0,6
1623.T,70500.0,-0.002699168121556461,0.10615792802107565,BUY,70500.0,1
1624.T,87750.0,-0.035334991096004575,-0.3468357342993788,SELL,263250.0,3
1625.T,67420.0,-0.012575641857352604,0.0,HOLD,0.0,0
1626.T,44460.0,0.023784121389883284,0.42392892786921366,BUY,355680.0,8
1627.T,11445.0,-0.0037605496174016873,0.09342249124652542,BUY,80115.0,7
1628.T,20600.0,-0.011546454825064001,0.0,HOLD,0.0,0
1629.T,267.3,-0.019590184610075556,-0.11727720002252828,SELL,104247.0,390
1630.T,37150.0,-0.014784569051628726,0.0,HOLD,0.0,0
1631.T,35000.0,0.009768138340389143,0.2557522009724885,BUY,210000.0,6
1632.T,39380.0,-0.005251373363958756,0.0,HOLD,0.0,0
1633.T,50990.0,-0.011117158089928414,0.0,HOLD,0.0,0
