Year,Baseline AR,Gap Residual AR,Hybrid AR,Hybrid RISK,Hybrid R/R,Hybrid MDD,Fill Rate,Limit Exposure Ratio
2015,17.3%,183.9%,103.4%,18.6%,5.558,-2.9%,80.5%,83.3%
2016,25.8%,240.6%,104.3%,15.9%,6.548,-7.7%,81.6%,85.0%
2017,-14.1%,68.4%,24.6%,8.7%,2.827,-6.2%,90.9%,92.5%
2018,-23.3%,26.6%,3.9%,8.2%,0.473,-6.9%,93.5%,94.0%
2019,-10.2%,39.6%,20.9%,7.6%,2.744,-4.2%,89.5%,91.3%
2020,-8.7%,120.8%,51.8%,16.2%,3.205,-5.6%,81.8%,84.0%
2021,-2.2%,83.0%,33.1%,11.6%,2.843,-4.9%,92.2%,94.1%
2022,-20.3%,65.4%,21.6%,9.5%,2.271,-9.6%,83.8%,85.4%
2023,-9.9%,28.1%,17.2%,10.0%,1.726,-8.3%,89.2%,91.0%
2024,1.8%,88.0%,40.4%,15.0%,2.689,-6.6%,89.2%,91.0%
2025,-4.4%,87.8%,36.8%,13.8%,2.658,-6.7%,87.7%,89.8%
2026,-53.9%,112.6%,-9.0%,7.2%,-1.257,-7.1%,89.1%,90.5%
